registryid,x,y,county_fips,state_fips,state_nuclear_restrictions,state_electricity_price,state_net_electricity_imports,state_nuclear_inclusive_policy,pop_weight_svi,traditionally_regulated_state_energy_market,state_construction_labor_5yr_mean_annual_wage,count_protected_lands,count_hazardous_facilities_within_5mi,fault_line_hazard,landslide_hazard,max_pga_lt_0o3g,hundred_year_flood_zone,open_water_or_wetland,pop_weight_sentiment,slope_lt_12pct,population_center_dist,ret_facility_dist,count_nuclear_rd_within_100mi,substation_dist,road_dist,streamflow_50kgpm_within_20mi
C2876,-82.1289,38.9144,39053.0,39,0,10.9055555555555,37952,1,0.2497,0,43920,0.0,0.0,1,0,1,1,1,0.375899874197802,1,1.84022909263116,130.92339520933,0,0.189021978355253,0.0243789796659958,1
C2914,-81.46815,40.520066,39157.0,39,0,11.9544444444444,37952,1,0.0741290808732917,1,43920,0.0,2.0,1,1,1,1,0,0.411101550344899,1,132.510802828631,0.0,0,0.0268501763195523,0.269546866489263,1
C2935,-81.76576,40.850964,39169.0,39,0,13.4411111111111,37952,1,0.413914829397248,0,43920,0.0,2.0,1,1,1,1,1,0.408768686481211,1,30.7314640351858,0.0,0,0.0815523793631475,0.279714346007797,1
C2936,-81.254,41.7265,39085.0,39,0,14.8655555555555,37952,1,0.537312415610966,1,43920,1.0,4.0,1,1,1,1,1,0.469241892792376,1,4.73788701915592,0.221069679390328,0,0.644386084595183,0.0825988183013346,1
C2952,-95.28732,35.76135,40101.0,40,0,12.8755555555555,-15919,0,0.422525049315917,1,31740,0.0,2.0,1,0,1,1,0,0.412872032082557,1,3.73768382963588,6.50109541468463,0,0.157427493724344,0.488371247576696,1
C2963,-95.7008,36.4317,40131.0,40,0,12.8755555555555,-15919,0,0.633193323807122,1,31740,0.0,0.0,1,1,1,1,1,0.415567760155607,1,6.96604924278284,0.0,0,0.203058411333193,0.0181929423369504,0
C3118,-79.0611,40.3842,42129.0,42,0,11.4288888888888,-70484,0,0.402814949167044,1,41540,0.0,1.0,1,0,1,1,0,0.405863624754416,1,19.1811617274616,59.7487129625492,1,0.193469199148767,0.164425363979591,1
C3122,-79.19611,40.512825,42063.0,42,0,12.1533333333333,-70484,0,0.49896080148083,0,41540,0.0,2.0,1,0,1,1,1,0.414742581805011,1,21.1372620357166,0.0,1,0.44105458150008,0.0379099836057637,1
C3130,-79.03366,40.40625,42129.0,42,0,12.1533333333333,-70484,0,0.459476850656711,0,41540,0.0,2.0,1,0,1,1,0,0.40580965496177,1,28.9480585209026,0.0,1,0.181747615323302,0.120479820125551,1
C3136,-79.3411,40.6604,42005.0,42,0,11.2888888888888,-70484,0,0.448040985788872,1,41540,0.0,3.0,1,0,1,1,1,0.420988109672803,1,46.1290582897741,44.8934769109081,0,0.303995431230107,0.072730517401421,1
C3149,-76.6672,41.0714,42093.0,42,0,11.2888888888888,-70484,0,0.44888334615524,1,41540,0.0,0.0,1,1,1,1,0,0.423763732980077,1,0.324079115932392,0.0,1,0.258194639726853,0.145081103343274,0
