"registryid","x","y","county_fips","state_fips","state_nuclear_restrictions","state_electricity_price","state_net_electricity_imports","state_nuclear_inclusive_policy","traditionally_regulated_state_energy_market","state_construction_labor_5yr_mean_annual_wage","count_protected_lands","count_hazardous_facilities_within_5mi","fault_line_hazard","landslide_hazard","max_pga_lt_0o3g","hundred_year_flood_zone","slope_lt_12pct","open_water_or_wetland","streamflow_50kgpm_within_20mi","count_nuclear_rd_within_100mi"
"110005435877","-87.92896","43.02425","55079","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,24,True,False,True,NULL,True,True,True,0
"110005435877","-87.92896","43.02425","55079","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,24,True,False,True,NULL,True,True,True,0
"110005443387","-87.97916","43.00926","55079","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,7,True,True,True,NULL,True,True,True,0
"110005931572","-90.51645","41.50499","17161","17","{2,4}","11.9869230769231",-34739,False,False,59038,NULL,6,True,True,True,NULL,True,True,True,0
"110005983445","-86.236404","39.78749","18097","18",NULL,"11.6746153846154",12707,True,True,39630,NULL,7,True,True,True,NULL,True,True,True,1
"110006041407","-85.943863","42.382854","26159","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,NULL,True,True,True,NULL,True,True,True,0
"110006042594","-85.5051","43.8539","26133","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,NULL,True,True,True,NULL,True,True,True,0
"110006049178","-93.19175","45.07177","27123","27","{6}","12.1276923076923",12734,False,True,50780,NULL,4,True,True,True,NULL,True,True,True,0
"110006066372","-89.53383","32.72682","28079","28",NULL,"11.0661538461538",-12476,False,True,30390,NULL,NULL,True,True,True,NULL,True,False,True,0
"110006180827","-79.968611","32.888333","45019","45",NULL,"10.8123076923077",-13311,False,True,31916,NULL,8,True,True,False,NULL,True,False,True,0
"110007849356","-85.509","36.16408","47141","47",NULL,"10.8084615384615",25944,False,True,32142,NULL,3,True,True,True,NULL,True,True,True,1
"110008024155","-72.625444","40.836333","36103","36","{6}","18.27",23833,True,True,52148,NULL,2,True,True,True,NULL,True,True,NULL,1
"110008053541","-69.01012","44.43044","23027","23","{4,7}","20.2846153846154",4068,False,False,33282,1,1,True,True,True,NULL,True,True,True,0
"110008205833","-72.11661","43.98066","50017","50","{2}","17.4407692307692",3445,False,True,36010,NULL,2,True,True,True,NULL,True,True,True,0
"110008216821","-122.606581","45.627728","53011","53",NULL,"9.54",-9445,True,True,48534,1,6,True,True,False,NULL,True,True,True,1
"110008234847","-89.8445","44.94125","55073","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,1,True,True,True,NULL,True,True,True,0
"110008243490","-87.61933","45.07133","55075","55",NULL,"12.4792307692308",12109,False,True,43282,1,1,True,True,True,NULL,True,False,NULL,0
"110008247600","-88.450632","43.782186","55039","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,4,True,False,True,NULL,True,True,True,2
"110000308961","-71.88298","42.3665","25027","25","{2,7}","22.9169230769231",33434,False,True,54582,NULL,1,True,True,True,NULL,True,True,True,3
"110008247600","-88.450632","43.782186","55039","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,4,True,False,True,NULL,True,True,True,2
"110008591274","-82.09384","41.44979","39093","39",NULL,"11.0361538461538",37952,True,False,43920,NULL,3,True,True,True,NULL,True,True,True,0
"110008655222","-93.25246","44.95196","27053","27","{6}","12.1276923076923",12734,False,True,50780,1,6,True,True,True,NULL,True,True,True,0
"110008664962","-93.269914","44.995254","27053","27","{6}","12.1276923076923",12734,False,True,50780,2,6,True,True,True,NULL,True,True,True,0
"110008770106","-93.20301","44.99165","27123","27","{6}","12.1276923076923",12734,False,True,50780,NULL,7,True,True,True,NULL,True,True,True,0
"110008800869","-92.45985","46.71069","27017","27","{6}","12.1276923076923",12734,False,True,50780,1,3,True,True,True,NULL,True,True,True,0
"110008813720","-94.612958","43.984337","27165","27","{6}","12.1276923076923",12734,False,True,50780,NULL,1,True,True,True,NULL,True,True,NULL,0
"110009262573","-71.3447","42.04624","25021","25","{2,7}","22.9169230769231",33434,False,True,54582,NULL,3,True,True,True,NULL,True,True,True,3
"110009264562","-88.060979","30.70375","01097","01",NULL,"11.4953846153846",-44514,False,True,31188,NULL,5,True,True,True,NULL,True,False,True,0
"110009274178","-82.79996","27.94533","12103","12",NULL,"13.39",13226,False,True,31532,NULL,4,True,True,True,NULL,True,True,NULL,0
"110009393361","-85.065212","44.895179","26009","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,NULL,True,True,True,NULL,True,True,True,0
"110009396064","-83.06058","42.36913","26163","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,10,True,True,True,NULL,True,True,True,0
"110009396064","-83.06058","42.36913","26163","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,10,True,True,True,NULL,True,True,True,0
"110009416818","-111.31642","47.51178","30013","30",NULL,"11.0130769230769",-11520,False,False,38668,NULL,5,True,True,True,NULL,True,True,True,0
"110009434638","-97.514552","35.461904","40109","40",NULL,"9.41307692307692",-15919,False,True,31740,NULL,8,True,True,True,NULL,True,True,True,0
